Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6SCqMl5aQcHQnMspvyddNk,"Saca da Twin","Saca da Twin","Mc Lele JP;Dj GM;MC Tuto;Gudy",2025-02-28,238032,67,false,31hrh2cvr44my62idghqelczd664,2026-04-14T00:13:29Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.841,0.546,6,-7.696,0,0.199,0.314,0.0000616,0.11,0.665,122.003,4
spotify:track:4bUc2e9z402Sc0bakXriSF,"Procedimento da Casa","Procedimento da Casa","MC Meno K;MC Ryan SP;Kauhan Peres;Mc Negão Original",2025-07-10,247832,66,true,31hrh2cvr44my62idghqelczd664,2026-04-17T23:49:48Z,"funk,funk carioca,trap funk,funk consciente","Big Shark Records",0.599,0.797,6,-2.846,0,0.408,0.288,0,0.0825,0.737,89.209,3
spotify:track:4TDx0OlQIayWrZnAnrHfNE,"Deixou Se Levar","Deixou Se Levar","Davi Kneip;Mc Anjim",2020-06-19,185538,56,false,31hrh2cvr44my62idghqelczd664,2026-04-18T22:13:57Z,"funk,funk de bh,brega funk,agronejo,funk pop","Davi Kneip",0.62,0.732,10,-3.622,1,0.248,0.427,0,0.0845,0.479,129.583,4
spotify:track:4tP2kbroBcBmYk4IhbYwu5,"Bola Uma Vela (Trava Chip)","Bola Uma Vela (Trava Chip)","MC Meno K;Dj Yuri Pedrada",2026-02-26,99692,77,false,31hrh2cvr44my62idghqelczd664,2026-04-18T22:14:03Z,"funk,funk carioca,trap funk","WM Brazil",0.852,0.498,9,-5.008,1,0.266,0.564,0.00000489,0.338,0.931,129.77,4
spotify:track:6qCPHeLUD6JNeorLmwvnWv,"Saque Fantasma","Saque Fantasma","Mc Kelvinho;Dj Victor",2024-06-26,214153,62,true,31hrh2cvr44my62idghqelczd664,2026-04-20T16:48:01Z,"funk consciente,funk,trap funk","GR6 Music",0.674,0.494,9,-5.112,0,0.414,0.744,0,0.0752,0.925,98.038,3
spotify:track:0zFo4TUmZZyjtKhiZc8pp9,"Rua Sem Saida","O PODEROSO CHATÃO","Mc Lele JP;MC Ryan SP;Boladin 211;DJ Oreia",2026-04-07,241920,64,true,31issvbo2go74xaihjj5ccogxvni,2026-04-25T14:41:46Z,"funk,funk consciente,trap funk,funk de bh,fado","GRINGOS WORLD PRODUTORA",0.54,0.603,9,-5.201,0,0.369,0.0997,0,0.263,0.655,85.61,5
spotify:track:4XDhxNlsBLmK1A1E89Mb15,"Espirra o Lança 🍀","Feliz no Simples (Parte 2) 🍀","Mc IG;Mc Lele JP;MC Meno K;Murillo e LT no Beat",2025-10-28,312195,57,true,31issvbo2go74xaihjj5ccogxvni,2026-04-27T02:45:40Z,"funk,trap funk,funk consciente,funk carioca,trap brasileiro","WM Brazil",0.712,0.644,4,-4.035,1,0.38,0.48,0,0.122,0.688,91.313,3
spotify:track:2zpEqa5Q7UgCP7tGtfo1Vr,"Já Foi Popó","Já Foi Popó","Mc Lele JP;DJ Massinha Reborn",2025-12-21,200314,59,false,31hrh2cvr44my62idghqelczd664,2026-04-27T19:48:29Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.739,0.748,11,-6.496,0,0.524,0.164,0,0.0567,0.84,84.884,5
spotify:track:06mhBhUg7eM530rD3nO3tM,"Não Consigo Mudar","Não Consigo Mudar","Mc Negão Original;MC Jvila;Mc IG;MC Ryan SP;Marquinho no Beat",2026-05-06,310153,30,true,31issvbo2go74xaihjj5ccogxvni,2026-05-18T20:37:19Z,"funk,trap funk,funk consciente,trap brasileiro,trap","WM Brazil",0.727,0.865,4,-3.906,0,0.223,0.0103,0,0.23,0.494,130.076,4
spotify:track:4KX0RbKTvLxlFjHZBSMNWL,"Torra a Paciência","Cadê o Negão?","Mc Negão Original;MC LUUKY;MC Ryan SP;DJ Japa NK;DJ WILL TN",2026-05-07,170138,68,true,31issvbo2go74xaihjj5ccogxvni,2026-05-18T20:37:23Z,"funk,trap funk,funk consciente","WM Brazil",0.819,0.679,9,-4.354,0,0.156,0.353,0,0.087,0.86,130.032,4
spotify:track:2364CtKIeJNVUnZZHKrzIr,"Mente Barulhenta","Quem Tá Vivo, Tá Vivendo","Mc IG;Mc Lele JP;DJ Oreia;DJ Noiskita",2026-03-26,215433,79,true,31issvbo2go74xaihjj5ccogxvni,2026-05-18T20:39:26Z,"funk,trap funk,funk consciente","WM Brazil",0.567,0.558,0,-4.824,0,0.365,0.00579,0,0.246,0.596,126.662,3
spotify:track:1mdTOH62rLqnTUZZfJ5kln,"Louco no Pião","Louco no Pião","Mc Negão Original;MC Ryan SP;DJ Japa NK;Murillo e LT no Beat",2025-03-28,206774,57,true,31issvbo2go74xaihjj5ccogxvni,2026-05-20T20:56:53Z,"funk,trap funk,funk consciente,trap brasileiro","Fusion Records",0.673,0.671,2,-3.724,0,0.414,0.307,0,0.137,0.423,130.096,4
spotify:track:1l1Y83zO80Bn9xVDEddCgZ,"Aperta o Play","Dr. Igor Guilherme","Mc IG;Murillo e LT no Beat",2024-12-12,217043,54,false,31issvbo2go74xaihjj5ccogxvni,2026-05-25T09:50:46Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.62,0.468,7,-5.495,0,0.201,0.642,0,0.13,0.422,114.521,4
spotify:track:0w7vodPWFEcuEYvWpbNbOu,"Rainha da Finesse","Vagabundo de Luxo","WIU",2024-07-10,166153,68,true,31issvbo2go74xaihjj5ccogxvni,2026-05-26T09:55:54Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.792,0.847,3,-2.114,0,0.0586,0.551,0,0.175,0.647,129.922,4
spotify:track:5cumq7VWhzem0R4tediT2z,"Ta Carente Quer Um Date","Ta Carente Quer Um Date","Mc Lele JP;MC LUUKY;DJ Hyago",2026-05-28,162461,70,true,31issvbo2go74xaihjj5ccogxvni,2026-05-28T22:03:01Z,"funk,funk consciente,trap funk","GRINGOS WORLD",0.539,0.467,2,-9.42,0,0.273,0.287,0,0.0972,0.631,83.114,5
spotify:track:2gbEvM5IwVIwJFpTVPUXV5,"Cuida do Pet","Cuida do Pet","Oldilla;Mc Iguinho Ct;MC Willian;Aaron Modesto;Mc Negão Original;DU'L;Dj Aladin GDB",2026-05-29,459212,88,true,31issvbo2go74xaihjj5ccogxvni,2026-05-31T17:13:31Z,"funk,funk consciente,trap funk","Oldilla Records",0.519,0.734,9,-2.166,0,0.254,0.656,0.00000976,0.146,0.615,84.952,5
spotify:track:6X24WDd1q8L7NchDWhj6wQ,"Estratégia","Estratégia","Mc Lele JP;Dj Yuri Pedrada;MC Nego Micha;Mc Menor Kau;Mc Neguinho PRT",2025-09-05,206769,59,false,31issvbo2go74xaihjj5ccogxvni,2026-07-07T15:51:01Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.86,0.666,9,-4.778,1,0.17,0.179,0,0.0984,0.791,130.211,4
spotify:track:4K8jKvRCwZcn6FXRJd9T3C,"pros menor da nova","FUNK DE CANALHA","G.A;Veigh;Mc Morena;Supernova Ent",2026-05-22,196535,76,true,31issvbo2go74xaihjj5ccogxvni,2026-07-07T15:51:05Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,brega funk,funk,funk de bh,brega","Supernova Entertainment",0.69,0.505,4,-6.215,0,0.435,0.398,0,0.237,0.316,126.93,4
spotify:track:4YX2AFoltkVU6MXQNmjH6z,"todas pra frente","FUNK DE CANALHA","G.A;Supernova Ent",2026-05-22,171707,52,true,31issvbo2go74xaihjj5ccogxvni,2026-07-07T15:51:11Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment",0.68,0.41,0,-6.969,0,0.323,0.0481,0,0.108,0.834,89.393,3
spotify:track:2zUC2BnjdVkB0OWvFQkKHa,"Pau Pra Toda Obra","Pau Pra Toda Obra","Mc Jacaré;MC Ryan SP;Mc IG;Mc Lele JP",2026-06-19,228923,86,true,31issvbo2go74xaihjj5ccogxvni,2026-07-07T15:51:17Z,"funk,trap funk,funk carioca,funk consciente","Universal Music Ltda (S&D)",0.759,0.875,11,-1.899,0,0.421,0.365,0,0.0703,0.686,86.655,5
