Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4o7WMB0tQYFrW0rLVdDQut,"2024M","2024M","MC PH;Wesley Safadão;Mc IG",2024-06-24,184500,48,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-14T22:29:20Z,"funk,trap funk,funk consciente,trap brasileiro,forró,sertanejo,piseiro,arrocha,sertanejo universitário,brega,seresta","GR6 Music",0.726,0.749,4,-5.488,0,0.0523,0.225,0.00000801,0.0808,0.724,160.017,4
spotify:track:65SlJkgtdhFkL6JpDvuEq3,"Ei, Dama!","Ei, Dama!","Mc IG;DJ Glenner",2023-08-30,171428,45,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-14T22:39:42Z,"funk,trap funk,funk consciente","WM Brazil",0.749,0.376,9,-10.358,0,0.149,0.204,0,0.327,0.511,111.928,5
spotify:track:2QqOTibXMBlciEaj1BytCz,"Fuego","Caliente","Teto Mc",2021-03-24,131671,34,false,31pukwc6x5g7m2u2elje37e7ppje,2026-04-15T21:31:56Z,"trap brasileiro,trap","Teto Mc",0.976,0.333,5,-14.534,0,0.289,0.0734,0,0.071,0.447,114.022,4
spotify:track:7cLt8S1uKvo41gRyRaaivR,"BLUNT DE GOIABA","ISSO É TRAP VOL.2","Brandão85",2026-04-15,125217,62,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.731,0.751,10,-3.784,0,0.0652,0.272,0.00244,0.0958,0.619,138.015,4
spotify:track:43xpbgkf5auMZM0OgLRzrJ,"JAQUETA BAPE","ISSO É TRAP VOL.2","Brandão85",2026-04-15,165034,54,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.898,0.77,11,-2.192,0,0.113,0.0187,0,0.145,0.971,127.939,4
spotify:track:0NHvltrWqtu39FG1a5tXV2,"FÓRMULAS & MIRAGENS","ISSO É TRAP VOL.2","Brandão85",2026-04-15,199678,55,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.716,0.818,2,-6.643,1,0.0466,0.01,0,0.192,0.209,125.014,4
spotify:track:6tku7hYTUK7PJr1KRUA0RI,"BUG NA MATRIX","ISSO É TRAP VOL.2","Brandão85",2026-04-15,198857,60,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.696,0.825,5,-4.854,0,0.242,0.561,0.0000987,0.403,0.72,140.103,4
spotify:track:3GYjiqSBK5rDKeowo2fzfF,"DEPOIS DO SHOW","ISSO É TRAP VOL.2","Brandão85",2026-04-15,150857,54,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.745,0.666,5,-3.554,1,0.0372,0.0544,0,0.113,0.149,139.969,4
spotify:track:4AAUPjDOqT9cM0zlkAdFt2,"COMIGO MESMO","ISSO É TRAP VOL.2","Brandão85",2026-04-15,144304,54,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:01:34Z,"trap brasileiro,trap","30PRAUM",0.517,0.613,2,-4.809,1,0.0312,0.0141,0.0000229,0.144,0.0576,79.957,4
spotify:track:2KCeDdDiljBL1LgDFIzfdr,"Goodnight Menina","O Que O Igor Guilherme Anda Pensando ?","Mc IG;DJ Glenner;Fepache",2022-08-24,141440,58,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-16T00:22:06Z,"funk,trap funk,funk consciente","GR6 Music",0.641,0.496,1,-3.41,0,0.312,0.664,0,0.086,0.533,129.677,5
